# ----------------------------------------
# Rutas de atribución de eventos clave
# Cuenta: www.assist-card.com
# Propiedad: Assist Card GA4 PROD
# ----------------------------------------
# 
# País coincide exactamente con Argentina
# Fecha de inicio: 20260501
# Fecha de finalización: 20260531
Ruta del grupo de canales principal,Eventos clave atribuidos a la ruta en función de los datos,Eventos clave,Ingresos derivados de las compras,Días hasta el evento clave,Puntos de contacto antes del evento clave
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,38,15338.629968,15.736842105263158,5
"[""Email"",""Email"",""Email"",""Email""]",NaN,38,16394.099978,9.605263157894736,4
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,34,13571.309958,15.205882352941176,6
"[""Cross-network"",""Paid Search""]",NaN,34,14071.409998,14.029411764705882,2
"[""Unassigned"",""Unassigned"",""Unassigned"",""Paid Search""]",NaN,34,18795.389944,22.558823529411764,4
"[""Organic Search"",""Paid Search"",""Paid Search""]",NaN,33,10624.319965,9.93939393939394,3
"[""Cross-network"",""Cross-network""]",NaN,33,13996.019996,20.09090909090909,2
"[""Paid Search"",""Email""]",NaN,30,12681.129977,2.966666666666667,2
"[""Email"",""Email"",""Email"",""Email"",""Email""]",NaN,29,15778.229979,13.344827586206897,5
"[""Referral"",""Referral"",""Referral"",""Referral""]",NaN,27,6769.449979,5.185185185185185,4
"[""Paid Other""]",NaN,27,11393.66,8.185185185185185,1
"[""Unassigned"",""Unassigned"",""Unassigned""]",NaN,27,11446.859973,4.518518518518518,3
"[""Email"",""Paid Search""]",NaN,27,12216.39998,13.666666666666666,2
"[""Organic Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search""]",NaN,24,11507.219991,20.583333333333332,5
"[""Paid Search"",""Organic Search"",""Paid Search"",""Paid Search""]",NaN,24,13125.449983,8.291666666666666,4
"[""Paid Social"",""Paid Social""]",NaN,21,9605.469999,8.095238095238095,2
"[""Paid Search"",""Referral"",""Referral""]",NaN,19,3938.999973,10.894736842105264,3
"[""Organic Social"",""Organic Social""]",NaN,19,5166.94,0.9473684210526315,2
"[""Referral"",""Paid Search""]",NaN,19,6190.689988,7.473684210526316,2
"[""Paid Search"",""Paid Search"",""Organic Search""]",NaN,19,7330.519981,5.421052631578948,3
"[""Organic Search"",""Organic Search"",""Paid Search""]",NaN,18,8439.699983,14.055555555555555,3
"[""Email"",""Email"",""Email"",""Email"",""Email"",""Email""]",NaN,18,8518.149959,3.0555555555555554,6
"[""Unassigned"",""Paid Search""]",NaN,17,5792.999987,6.411764705882353,2
"[""Paid Search"",""Organic Search"",""Paid Search""]",NaN,17,6446.709988,6.764705882352941,3
"[""Paid Search"",""Cross-network""]",NaN,17,6471.799996,12.470588235294118,2
"[""Paid Search"",""Organic Search"",""Organic Search""]",NaN,17,7716.669981,4.823529411764706,3
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,16,4062.969995,3.125,4
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,16,4738.979992,22.5,4
"[""Paid Search"",""Unassigned""]",NaN,16,5432.019992,6.9375,2
"[""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,16,5715.91997,3,6
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,15,6429.439964,23.466666666666665,7
"[""Paid Search"",""Email"",""Email""]",NaN,14,5810.379988,16,3
"[""Referral"",""Referral"",""Paid Search"",""Referral"",""Cross-network"",""Cross-network""]",NaN,14,6744.069984,60.642857142857146,6
"[""Referral"",""Referral"",""Paid Search"",""Referral"",""Referral"",""Referral""]",NaN,14,8813.119981,6.857142857142857,6
"[""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,13,4843.879992,3.3076923076923075,5
"[""Display""]",NaN,13,5001.14,4.461538461538462,1
"[""Referral"",""Paid Search"",""Paid Search""]",NaN,13,5372.329989,10.846153846153847,3
"[""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email""]",NaN,13,6661.809977,22.615384615384617,8
"[""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search""]",NaN,12,3242.049986,18.166666666666668,4
"[""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social""]",NaN,12,4020.619999,4.75,4
"[""Cross-network"",""Paid Search"",""Paid Search""]",NaN,12,5734.109997,9.333333333333334,3
"[""Organic Social"",""Organic Social"",""Organic Social""]",NaN,11,2173.779987,0.8181818181818182,3
"[""Organic Search"",""Referral""]",NaN,11,3097.849993,9.363636363636363,2
"[""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social""]",NaN,11,3630.339988,10.818181818181818,6
"[""Organic Search"",""Unassigned""]",NaN,11,4212.929992,19.727272727272727,2
"[""Referral"",""Referral"",""Organic Search""]",NaN,11,4360.40999,8.909090909090908,3
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,11,4530.629996,14.363636363636363,5
"[""Paid Social"",""Paid Social"",""Paid Social""]",NaN,11,4858.869995,3.727272727272727,3
"[""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",NaN,10,2743.139997,8.3,5
"[""Paid Search"",""Paid Search"",""Referral""]",NaN,10,3487.869991,12.6,3
"[""Paid Search"",""Referral"",""Paid Search""]",NaN,10,3534.449993,4.3,3
"[""Email"",""Paid Search"",""Paid Search""]",NaN,10,4033.189988,35.1,3
"[""Paid Search"",""Paid Search"",""Unassigned""]",NaN,9,3139.27999,5.111111111111111,3
"[""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email""]",NaN,9,3338.819971,10,7
"[""Paid Search"",""Paid Search"",""Referral"",""Referral""]",NaN,8,1947.809989,4,4
"[""Email"",""Referral""]",NaN,8,2233.979994,3,2
"[""Cross-network"",""Email""]",NaN,8,2775.139994,24,2
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,8,3157.429985,1.625,5
"[""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,8,3451.119987,10.125,4
"[""Cross-network"",""Cross-network"",""Cross-network""]",NaN,8,3858.409994,22.5,3
"[""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,7,1862.879971,2.7142857142857144,7
"[""Paid Search"",""Paid Social""]",NaN,7,2223.239997,11.428571428571429,2
"[""Paid Search"",""Paid Search"",""Email""]",NaN,7,2887.209991,17.285714285714285,3
"[""Email"",""Email"",""Paid Search""]",NaN,7,2916.299992,9.857142857142858,3
"[""Paid Search"",""Cross-network"",""Paid Search""]",NaN,7,3028.319996,25.857142857142858,3
"[""Paid Search"",""Paid Search"",""Organic Search"",""Paid Search""]",NaN,7,4604.529994,11.142857142857142,4
"[""Referral"",""Paid Search"",""Referral"",""Referral""]",NaN,6,1251.609995,9.5,4
"[""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,6,1629.889993,0.8333333333333334,4
"[""Unassigned"",""Referral""]",NaN,6,1648.889996,0.3333333333333333,2
"[""Organic Search"",""Referral"",""Referral""]",NaN,6,1850.859992,23.5,3
"[""Paid Social"",""Paid Search""]",NaN,6,1878.049998,20.666666666666668,2
"[""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social""]",NaN,6,1900.08,27.333333333333332,5
"[""Paid Search"",""Cross-network"",""Cross-network""]",NaN,6,2200.479997,1.8333333333333333,3
"[""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search""]",NaN,6,2321.549993,24,4
"[""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,6,2590.239995,28.166666666666668,4
"[""Paid Search"",""Email"",""Paid Search""]",NaN,6,3276.799997,11.5,3
"[""Email"",""Paid Search"",""Email""]",NaN,6,3327.439998,14,3
"[""Paid Search"",""Organic Social"",""Organic Social""]",NaN,5,948.959993,0.4,3
"[""Paid Search"",""Referral"",""Referral"",""Referral""]",NaN,5,1289.929992,2.6,4
"[""Cross-network"",""Cross-network"",""Paid Search""]",NaN,5,1384.379996,23.2,3
"[""Cross-network"",""Organic Search""]",NaN,5,1482.759998,5.4,2
"[""Paid Social"",""Paid Social"",""Paid Search""]",NaN,5,1626.109997,14.4,3
"[""Paid Search"",""Display"",""Paid Search""]",NaN,5,1687.039998,19.8,3
"[""Paid Search"",""Email"",""Email"",""Email""]",NaN,5,1943.849995,29,4
"[""Unassigned"",""Email""]",NaN,5,2129.309996,2.6,2
"[""Paid Search"",""Cross-network"",""Paid Search"",""Paid Search""]",NaN,5,2141.8,31.2,4
"[""Unassigned"",""Paid Search"",""Paid Search""]",NaN,5,2145.709998,17.8,3
"[""Referral"",""Referral"",""Paid Search""]",NaN,5,2189.069995,2.2,3
"[""Email"",""Email"",""Email"",""Paid Search""]",NaN,5,2389.399997,51.4,4
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,5,2416.769997,32.6,4
"[""Paid Search"",""Display""]",NaN,5,2539.269998,9.2,2
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,5,2613.369985,12.8,6
"[""Referral"",""Email""]",NaN,5,3370.639995,2.8,2
"[""Referral"",""Referral"",""Referral"",""Organic Search""]",NaN,4,623.899994,0.75,4
"[""Paid Search"",""Referral"",""Organic Search""]",NaN,4,956.859995,3.5,3
"[""Organic Search"",""Cross-network""]",NaN,4,983.959996,0,2
"[""Referral"",""Referral"",""Paid Search"",""Referral""]",NaN,4,1015.929993,2.25,4
"[""Email"",""Unassigned""]",NaN,4,1214.479996,0,2
"[""Paid Search"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,4,1241.139992,7,5
"[""Email"",""Cross-network"",""Paid Search""]",NaN,4,1245.089999,85.5,3
"[""Referral"",""Cross-network""]",NaN,4,1267.539998,1.5,2
"[""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search""]",NaN,4,1272.409994,34.5,4
"[""Cross-network"",""Paid Social""]",NaN,4,1632.909999,17.5,2
"[""Cross-network"",""Referral""]",NaN,4,1639.289999,3.75,2
"[""Paid Search"",""Email"",""Email"",""Email"",""Email""]",NaN,4,1666.95999,2.25,5
"[""Display"",""Display""]",NaN,4,1705.58,21.75,2
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search""]",NaN,4,1738.089997,19.25,5
"[""Paid Search"",""Paid Search"",""Cross-network""]",NaN,4,1789.859999,4.5,3
"[""Paid Search"",""Paid Search"",""Display""]",NaN,4,1861.16,5.5,3
"[""Organic Search"",""Paid Search"",""Organic Search""]",NaN,4,1887.899998,20.75,3
"[""Referral"",""Referral"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,4,1984.179995,6.75,5
"[""Paid Search"",""Paid Search"",""Email"",""Email"",""Email""]",NaN,4,2071.89999,7.5,5
"[""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,4,2135.819996,36,5
"[""Email"",""Email"",""Email"",""Email"",""Email"",""Paid Search""]",NaN,4,2223.009992,1,6
"[""Referral"",""Referral"",""Paid Search"",""Paid Search"",""Paid Search"",""Referral"",""Referral""]",NaN,4,2297.699992,13,7
"[""Email"",""Cross-network""]",NaN,4,2890.479996,66,2
"[""Referral"",""Unassigned""]",NaN,3,389.279998,6.333333333333333,2
"[""Organic Search"",""Referral"",""Referral"",""Referral""]",NaN,3,451.129994,4.666666666666667,4
"[""Paid Search"",""Paid Search"",""Referral"",""Referral"",""Referral""]",NaN,3,472.089996,13.666666666666666,5
"[""Referral"",""Paid Search"",""Referral""]",NaN,3,572.739998,1.6666666666666667,3
"[""Referral"",""Organic Search""]",NaN,3,595.659997,26.666666666666668,2
"[""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search""]",NaN,3,664.529994,14.333333333333334,5
"[""Paid Search"",""Paid Social"",""Paid Search""]",NaN,3,682.92,12,3
"[""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,3,812.619992,16,5
"[""Email"",""Email"",""Email"",""Referral""]",NaN,3,822.899997,12.333333333333334,4
"[""Paid Search"",""Cross-network"",""Organic Search""]",NaN,3,837.519998,16.666666666666668,3
"[""Paid Search"",""Organic Social""]",NaN,3,862.849997,0.3333333333333333,2
"[""Email"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,3,876.359999,27,5
"[""Paid Search"",""Unassigned"",""Paid Search""]",NaN,3,904.559997,6,3
"[""Paid Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Organic Search""]",NaN,3,937.689996,22.333333333333332,5
"[""Cross-network"",""Organic Search"",""Organic Search""]",NaN,3,965.659998,19,3
"[""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network"",""Cross-network""]",NaN,3,995.279991,6.333333333333333,6
"[""Referral"",""Referral"",""Referral"",""Paid Search""]",NaN,3,1029.479995,25.333333333333332,4
"[""Email"",""Referral"",""Referral""]",NaN,3,1054.249998,0,3
"[""Referral"",""Display""]",NaN,3,1113.069998,4.666666666666667,2
"[""Unassigned"",""Organic Search""]",NaN,3,1113.799997,0.3333333333333333,2
"[""Referral"",""Organic Search"",""Organic Search""]",NaN,3,1134.919997,29,3
"[""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Paid Search""]",NaN,3,1144.999994,3.3333333333333335,5
"[""Cross-network"",""Display""]",NaN,3,1203.549999,4.666666666666667,2
"[""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,3,1229.009995,12.333333333333334,5
"[""Unassigned"",""Paid Search"",""Unassigned""]",NaN,3,1230.399999,2.6666666666666665,3
"[""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,3,1263.589994,24.666666666666668,5
"[""Paid Search"",""Organic Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,3,1276.239993,5.333333333333333,6
"[""Paid Search"",""Organic Search"",""Paid Search"",""Organic Search""]",NaN,3,1289.499997,3.6666666666666665,4
"[""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,3,1325.2,0,8
"[""Paid Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,3,1339.649996,0,5
"[""Organic Search"",""Email""]",NaN,3,1421.009997,27.666666666666668,2
"[""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,3,1432.349995,23.333333333333332,6
"[""Paid Search"",""Referral"",""Referral"",""Paid Search""]",NaN,3,1432.759996,2.3333333333333335,4
"[""Display"",""Paid Search""]",NaN,3,1463.71,3,2
"[""Referral"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,3,1645.199998,5.666666666666667,4
"[""Email"",""Email"",""Paid Search"",""Paid Search""]",NaN,3,1697.199997,30.333333333333332,4
"[""Paid Search"",""Email"",""Email"",""Email"",""Email"",""Email"",""Email""]",NaN,3,1841.299998,10.333333333333334,7
"[""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Organic Search""]",NaN,3,1848.359994,30.333333333333332,6
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,3,1874.399996,1,8
"[""Paid Search"",""Email"",""Email"",""Email"",""Email"",""Email""]",NaN,3,2064.079991,17,6
"[""Referral"",""Referral"",""Paid Search"",""Paid Search"",""Paid Search"",""Referral"",""Referral"",""Paid Search""]",NaN,3,2100.299996,14.333333333333334,8
"[""Paid Search"",""Organic Search"",""Organic Search"",""Cross-network""]",NaN,2,142.479998,6,4
"[""Organic Search"",""Organic Search"",""Paid Search"",""Organic Search""]",NaN,2,174.599998,13.5,4
"[""Organic Search"",""Paid Search"",""Organic Search"",""Paid Search""]",NaN,2,228.559998,17,4
"[""Paid Search"",""Paid Social"",""Paid Search"",""Paid Search""]",NaN,2,245.84,2.5,4
"[""Organic Search"",""Cross-network"",""Paid Search""]",NaN,2,247.199997,0,3
"[""Paid Search"",""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,2,247.239999,1.5,5
"[""Email"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,2,251.449994,3.5,6
"[""Unassigned"",""Referral"",""Referral"",""Referral""]",NaN,2,262.079997,33.5,4
"[""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",NaN,2,271.969998,10,7
"[""Unassigned"",""Paid Search"",""Referral""]",NaN,2,288.699996,1,3
"[""Organic Search"",""Unassigned"",""Unassigned""]",NaN,2,294.509999,38.5,3
"[""Paid Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,2,318.659991,30,7
"[""Paid Search"",""Paid Search"",""Display"",""Paid Search"",""Paid Search""]",NaN,2,331.969999,33,5
"[""Referral"",""Unassigned"",""Referral""]",NaN,2,343.439998,0,3
"[""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Referral""]",NaN,2,353.859998,2,5
"[""Organic Search"",""Referral"",""Paid Search""]",NaN,2,356.999998,10.5,3
"[""Unassigned"",""Referral"",""Referral""]",NaN,2,384.909996,1,3
"[""Organic Search"",""Organic Search"",""Cross-network""]",NaN,2,386.089997,15.5,3
"[""Organic Social"",""Organic Social"",""Paid Search""]",NaN,2,397.069997,0,3
"[""Email"",""Display"",""Paid Search""]",NaN,2,411.64,30,3
"[""Paid Search"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,2,418,1.5,6
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,2,429.08999,1.5,7
"[""Paid Search"",""Paid Search"",""Email"",""Email""]",NaN,2,430.609996,25.5,4
"[""Unassigned"",""Unassigned"",""Cross-network""]",NaN,2,440.699999,20,3
"[""Organic Search"",""Organic Search"",""Organic Search"",""Cross-network"",""Paid Search""]",NaN,2,458.669997,1,5
"[""Paid Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,2,499.319998,45.5,5
"[""Referral"",""Referral"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,2,509.119996,29.5,7
"[""Email"",""Referral"",""Referral"",""Email"",""Paid Search""]",NaN,2,513.629999,0,5
"[""Cross-network"",""Organic Search"",""Paid Search""]",NaN,2,537.039998,7,3
"[""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social"",""Paid Search"",""Paid Search"",""Unassigned""]",NaN,2,540.199998,55,7
"[""Referral"",""Paid Search"",""Referral"",""Paid Search""]",NaN,2,549.979995,28,4
"[""Paid Search"",""Unassigned"",""Paid Search"",""Unassigned""]",NaN,2,555.489999,13,4
"[""Email"",""Organic Search"",""Organic Search""]",NaN,2,560.399997,3,3
"[""Paid Social"",""Paid Search"",""Paid Search""]",NaN,2,585,47,3
"[""Paid Search"",""Paid Search"",""Referral"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,2,599.879993,42.5,7
"[""Paid Search"",""Organic Search"",""Organic Search"",""Cross-network"",""Cross-network"",""Organic Search""]",NaN,2,604.959996,0,6
"[""Paid Search"",""Cross-network"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,2,612.849996,3,5
"[""Cross-network"",""Referral"",""Referral""]",NaN,2,622.709996,8.5,3
"[""Paid Search"",""Email"",""Email"",""Paid Search""]",NaN,2,627.679999,2,4
"[""Paid Search"",""Cross-network"",""Cross-network"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,2,633,12,6
"[""Paid Search"",""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social""]",NaN,2,633.649995,4.5,7
"[""Paid Search"",""Paid Search"",""Organic Search"",""Paid Search"",""Paid Search""]",NaN,2,636.199999,0,5
"[""Unassigned"",""Unassigned"",""Paid Search""]",NaN,2,637.559998,0.5,3
"[""Email"",""Unassigned"",""Paid Search""]",NaN,2,639.779998,0,3
"[""Organic Search"",""Organic Search"",""Referral"",""Referral"",""Referral"",""Referral""]",NaN,2,639.799994,1,6
"[""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,2,640.599997,34,7
"[""Referral"",""Paid Search"",""Organic Search"",""Paid Search""]",NaN,2,640.759997,17.5,4
"[""Unassigned"",""Paid Search"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,2,654,1.5,6
"[""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,2,660,13,7
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,2,668.059994,3.5,7
"[""Referral"",""Paid Search"",""Organic Search""]",NaN,2,668.689996,32.5,3
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,2,668.999996,28,6
"[""Cross-network"",""Paid Social"",""Paid Social""]",NaN,2,681,19,3
"[""Referral"",""Referral"",""Unassigned""]",NaN,2,683.199999,44,3
"[""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned"",""Unassigned""]",NaN,2,700.549995,3,8
"[""Email"",""Email"",""Paid Social"",""Email"",""Email""]",NaN,2,747.769997,5,5
"[""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,2,760.019997,21.5,5
"[""Email"",""Organic Search""]",NaN,2,790.199999,1,2
"[""Organic Social"",""Organic Social"",""Organic Social"",""Organic Social""]",NaN,2,795.5,0,4
"[""Paid Search"",""Organic Search"",""Paid Social"",""Paid Search""]",NaN,2,812.459997,5.5,4
"[""Email"",""Paid Search"",""Email"",""Email"",""Email""]",NaN,2,814.479997,37,5
"[""Cross-network"",""Email"",""Email"",""Email"",""Email"",""Email""]",NaN,2,841.399999,25.5,6
"[""Paid Search"",""Unassigned"",""Unassigned"",""Unassigned"",""Paid Search""]",NaN,2,848.829999,25.5,5
"[""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social"",""Paid Social""]",NaN,2,850.56,12,8
"[""Email"",""Email"",""Email"",""Paid Search"",""Paid Search""]",NaN,2,856.619996,9.5,5
"[""Display"",""Cross-network"",""Cross-network""]",NaN,2,858.799998,54,3
"[""Paid Social"",""Cross-network"",""Email"",""Email""]",NaN,2,859.84,58,4
"[""Paid Social"",""Organic Social""]",NaN,2,874.38,9.5,2
"[""Paid Other"",""Organic Search""]",NaN,2,876.199998,1,2
"[""Email"",""Paid Search"",""Email"",""Email""]",NaN,2,884.959997,0.5,4
"[""Paid Search"",""Paid Search"",""Organic Search"",""Email"",""Email""]",NaN,2,901.199997,26.5,5
"[""Paid Search"",""Paid Search"",""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,2,932.199996,1.5,6
"[""Paid Search"",""Paid Social"",""Paid Social"",""Paid Search""]",NaN,2,935.2,18,4
"[""Paid Search"",""Cross-network"",""Paid Search"",""Paid Search"",""Referral""]",NaN,2,944.689996,84,5
"[""Organic Search"",""Organic Search"",""Referral"",""Paid Search""]",NaN,2,946.399996,5,4
"[""Paid Search"",""Paid Search"",""Paid Search"",""Unassigned""]",NaN,2,946.739998,36.5,4
"[""Paid Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,2,982.239998,48,6
"[""Cross-network"",""Email"",""Email"",""Email""]",NaN,2,989.799999,48.5,4
"[""Paid Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,2,1000.959999,12.5,7
"[""Referral"",""Referral"",""Referral"",""Referral"",""Paid Search""]",NaN,2,1002,41,5
"[""Cross-network"",""Organic Search"",""Organic Search"",""Organic Search""]",NaN,2,1010.409996,42.5,4
"[""Cross-network"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,2,1021.7,16,4
"[""Paid Search"",""Paid Search"",""Paid Search"",""Paid Search"",""Cross-network""]",NaN,2,1028.22,1,5
"[""Paid Search"",""Referral"",""Paid Social"",""Paid Social"",""Paid Social""]",NaN,2,1057.829996,10,5
"[""Organic Search"",""Organic Search"",""Organic Search"",""Organic Search"",""Paid Search""]",NaN,2,1059.699995,0.5,5
"[""Paid Search"",""Unassigned"",""Unassigned""]",NaN,2,1082.919997,1.5,3
"[""Email"",""Email"",""Email"",""Email"",""Email"",""Email"",""Paid Search""]",NaN,2,1097.799991,9.5,7
"[""Paid Search"",""Organic Search"",""Referral""]",NaN,2,1105.999999,2,3
"[""Paid Search"",""Email"",""Paid Search"",""Paid Search""]",NaN,2,1125.619999,39,4
"[""Email"",""Organic Search"",""Paid Search""]",NaN,2,1130.559998,40,3
"[""Unassigned"",""Email"",""Email"",""Email""]",NaN,2,1155.199997,1,4
"[""Paid Search"",""Organic Search"",""Organic Search"",""Paid Search"",""Paid Search"",""Paid Search""]",NaN,2,1164.079997,0,6
"[""Referral"",""Paid Search"",""Referral"",""Paid Search"",""Referral"",""Referral"",""Referral""]",NaN,2,1167.409997,7,7
"[""Referral"",""Referral"",""Referral"",""Referral"",""Paid Search"",""Paid Search""]",NaN,2,1194.299994,47.5,6
